customer_id,country,plan,signup_date
1,USA,Standard,2022-01-01
2,USA,Standard,2022-01-02
3,USA,Basic,2022-01-03
4,India,Standard,2022-01-04
5,USA,Standard,2022-01-05
6,USA,Basic,2022-01-06
7,UK,Premium,2022-01-07
8,India,Standard,2022-01-08
9,Canada,Premium,2022-01-09
10,Canada,Premium,2022-01-10
11,Canada,Premium,2022-01-11
12,Canada,Standard,2022-01-12
13,UK,Basic,2022-01-13
14,Canada,Basic,2022-01-14
15,Canada,Standard,2022-01-15
16,UK,Basic,2022-01-16
17,USA,Standard,2022-01-17
18,India,Standard,2022-01-18
19,UK,Standard,2022-01-19
20,Canada,Standard,2022-01-20
21,Canada,Basic,2022-01-21
22,India,Premium,2022-01-22
23,Canada,Premium,2022-01-23
24,India,Standard,2022-01-24
25,Canada,Basic,2022-01-25
26,UK,Standard,2022-01-26
27,USA,Basic,2022-01-27
28,Canada,Standard,2022-01-28
29,Canada,Basic,2022-01-29
30,USA,Basic,2022-01-30
31,UK,Basic,2022-01-31
32,India,Basic,2022-02-01
33,USA,Standard,2022-02-02
34,USA,Standard,2022-02-03
35,UK,Standard,2022-02-04
36,India,Basic,2022-02-05
37,India,Basic,2022-02-06
38,UK,Premium,2022-02-07
39,UK,Standard,2022-02-08
40,USA,Premium,2022-02-09
41,UK,Premium,2022-02-10
42,India,Premium,2022-02-11
43,Canada,Standard,2022-02-12
44,India,Standard,2022-02-13
45,Canada,Premium,2022-02-14
46,USA,Premium,2022-02-15
47,UK,Premium,2022-02-16
48,India,Basic,2022-02-17
49,UK,Premium,2022-02-18
50,India,Basic,2022-02-19
51,India,Standard,2022-02-20
52,India,Standard,2022-02-21
53,UK,Standard,2022-02-22
54,USA,Basic,2022-02-23
55,India,Premium,2022-02-24
56,India,Basic,2022-02-25
57,UK,Basic,2022-02-26
58,India,Basic,2022-02-27
59,India,Standard,2022-02-28
60,India,Basic,2022-03-01
61,Canada,Standard,2022-03-02
62,India,Premium,2022-03-03
63,USA,Standard,2022-03-04
64,Canada,Premium,2022-03-05
65,Canada,Basic,2022-03-06
66,UK,Standard,2022-03-07
67,UK,Premium,2022-03-08
68,USA,Standard,2022-03-09
69,Canada,Standard,2022-03-10
70,Canada,Basic,2022-03-11
71,UK,Basic,2022-03-12
72,USA,Basic,2022-03-13
73,India,Premium,2022-03-14
74,India,Standard,2022-03-15
75,Canada,Basic,2022-03-16
76,India,Basic,2022-03-17
77,India,Basic,2022-03-18
78,India,Standard,2022-03-19
79,Canada,Premium,2022-03-20
80,India,Premium,2022-03-21
81,UK,Standard,2022-03-22
82,USA,Standard,2022-03-23
83,USA,Basic,2022-03-24
84,UK,Premium,2022-03-25
85,UK,Premium,2022-03-26
86,USA,Standard,2022-03-27
87,USA,Basic,2022-03-28
88,USA,Standard,2022-03-29
89,USA,Premium,2022-03-30
90,USA,Premium,2022-03-31
91,USA,Premium,2022-04-01
92,USA,Basic,2022-04-02
93,Canada,Basic,2022-04-03
94,Canada,Standard,2022-04-04
95,USA,Basic,2022-04-05
96,Canada,Standard,2022-04-06
97,Canada,Premium,2022-04-07
98,India,Premium,2022-04-08
99,Canada,Premium,2022-04-09
100,UK,Premium,2022-04-10
101,India,Standard,2022-04-11
102,Canada,Basic,2022-04-12
103,USA,Standard,2022-04-13
104,Canada,Basic,2022-04-14
105,UK,Basic,2022-04-15
106,UK,Premium,2022-04-16
107,Canada,Standard,2022-04-17
108,Canada,Premium,2022-04-18
109,India,Standard,2022-04-19
110,USA,Standard,2022-04-20
111,UK,Basic,2022-04-21
112,UK,Standard,2022-04-22
113,Canada,Standard,2022-04-23
114,India,Basic,2022-04-24
115,UK,Basic,2022-04-25
116,USA,Basic,2022-04-26
117,India,Standard,2022-04-27
118,India,Standard,2022-04-28
119,UK,Standard,2022-04-29
120,Canada,Standard,2022-04-30
121,UK,Basic,2022-05-01
122,USA,Standard,2022-05-02
123,India,Standard,2022-05-03
124,UK,Standard,2022-05-04
125,UK,Premium,2022-05-05
126,Canada,Premium,2022-05-06
127,India,Standard,2022-05-07
128,Canada,Basic,2022-05-08
129,Canada,Premium,2022-05-09
130,UK,Standard,2022-05-10
131,USA,Standard,2022-05-11
132,India,Basic,2022-05-12
133,India,Standard,2022-05-13
134,USA,Premium,2022-05-14
135,Canada,Premium,2022-05-15
136,India,Basic,2022-05-16
137,India,Premium,2022-05-17
138,Canada,Basic,2022-05-18
139,USA,Basic,2022-05-19
140,USA,Standard,2022-05-20
141,Canada,Basic,2022-05-21
142,Canada,Premium,2022-05-22
143,Canada,Premium,2022-05-23
144,UK,Basic,2022-05-24
145,USA,Standard,2022-05-25
146,USA,Premium,2022-05-26
147,Canada,Standard,2022-05-27
148,India,Standard,2022-05-28
149,Canada,Premium,2022-05-29
150,USA,Standard,2022-05-30
151,Canada,Basic,2022-05-31
152,Canada,Basic,2022-06-01
153,India,Standard,2022-06-02
154,India,Standard,2022-06-03
155,UK,Basic,2022-06-04
156,Canada,Premium,2022-06-05
157,Canada,Premium,2022-06-06
158,UK,Standard,2022-06-07
159,Canada,Premium,2022-06-08
160,USA,Basic,2022-06-09
161,USA,Standard,2022-06-10
162,USA,Basic,2022-06-11
163,Canada,Standard,2022-06-12
164,Canada,Basic,2022-06-13
165,Canada,Premium,2022-06-14
166,UK,Standard,2022-06-15
167,Canada,Premium,2022-06-16
168,UK,Premium,2022-06-17
169,Canada,Premium,2022-06-18
170,India,Standard,2022-06-19
171,Canada,Standard,2022-06-20
172,Canada,Standard,2022-06-21
173,India,Premium,2022-06-22
174,Canada,Standard,2022-06-23
175,USA,Premium,2022-06-24
176,UK,Premium,2022-06-25
177,Canada,Premium,2022-06-26
178,UK,Basic,2022-06-27
179,UK,Standard,2022-06-28
180,UK,Premium,2022-06-29
181,USA,Premium,2022-06-30
182,UK,Standard,2022-07-01
183,Canada,Premium,2022-07-02
184,UK,Standard,2022-07-03
185,USA,Standard,2022-07-04
186,UK,Premium,2022-07-05
187,India,Standard,2022-07-06
188,UK,Premium,2022-07-07
189,USA,Standard,2022-07-08
190,Canada,Standard,2022-07-09
191,USA,Standard,2022-07-10
192,India,Premium,2022-07-11
193,UK,Basic,2022-07-12
194,Canada,Basic,2022-07-13
195,USA,Standard,2022-07-14
196,USA,Standard,2022-07-15
197,USA,Standard,2022-07-16
198,UK,Premium,2022-07-17
199,USA,Basic,2022-07-18
200,UK,Standard,2022-07-19
201,Canada,Premium,2022-07-20
202,Canada,Basic,2022-07-21
203,Canada,Standard,2022-07-22
204,USA,Basic,2022-07-23
205,India,Premium,2022-07-24
206,USA,Basic,2022-07-25
207,Canada,Premium,2022-07-26
208,UK,Premium,2022-07-27
209,USA,Standard,2022-07-28
210,UK,Premium,2022-07-29
211,USA,Premium,2022-07-30
212,UK,Basic,2022-07-31
213,UK,Standard,2022-08-01
214,UK,Basic,2022-08-02
215,USA,Basic,2022-08-03
216,UK,Premium,2022-08-04
217,India,Standard,2022-08-05
218,India,Standard,2022-08-06
219,UK,Basic,2022-08-07
220,USA,Premium,2022-08-08
221,UK,Basic,2022-08-09
222,UK,Basic,2022-08-10
223,Canada,Standard,2022-08-11
224,India,Standard,2022-08-12
225,UK,Standard,2022-08-13
226,USA,Standard,2022-08-14
227,UK,Standard,2022-08-15
228,Canada,Standard,2022-08-16
229,UK,Premium,2022-08-17
230,USA,Basic,2022-08-18
231,UK,Standard,2022-08-19
232,UK,Standard,2022-08-20
233,UK,Premium,2022-08-21
234,UK,Basic,2022-08-22
235,India,Premium,2022-08-23
236,USA,Standard,2022-08-24
237,USA,Basic,2022-08-25
238,India,Premium,2022-08-26
239,Canada,Basic,2022-08-27
240,UK,Standard,2022-08-28
241,USA,Basic,2022-08-29
242,UK,Standard,2022-08-30
243,UK,Standard,2022-08-31
244,USA,Premium,2022-09-01
245,India,Premium,2022-09-02
246,Canada,Premium,2022-09-03
247,India,Premium,2022-09-04
248,UK,Premium,2022-09-05
249,USA,Basic,2022-09-06
