customer_id,monthly_revenue
1,2159
2,2469
3,608
4,2485
5,2083
6,3743
7,3773
8,2792
9,3144
10,3543
11,2864
12,3574
13,4649
14,594
15,1168
16,2968
17,4009
18,1972
19,1796
20,2629
21,3590
22,834
23,2563
24,1414
25,1393
26,3495
27,2583
28,2150
29,4662
30,781
31,882
32,2380
33,4385
34,3280
35,3699
36,1030
37,2807
38,4475
39,2518
40,2162
41,4135
42,4994
43,2402
44,850
45,2130
46,3167
47,1094
48,4081
49,2664
50,4179
51,3381
52,4769
53,2832
54,3719
55,4624
56,3274
57,3215
58,3531
59,744
60,2341
61,3073
62,4152
63,3284
64,1377
65,4756
66,3708
67,4854
68,4146
69,2234
70,3376
71,4413
72,2372
73,4759
74,1756
75,4678
76,4495
77,1408
78,3531
79,4866
80,1612
81,4509
82,3881
83,3374
84,3198
85,1943
86,4280
87,3855
88,3469
89,4508
90,2960
91,3889
92,1130
93,1790
94,4173
95,3605
96,2078
97,1404
98,2197
99,2240
100,2975
101,4061
102,3370
103,2744
104,2016
105,3543
106,2781
107,3153
108,3082
109,1276
110,1529
111,892
112,1319
113,4586
114,1211
115,2700
116,2916
117,4517
118,3119
119,1514
120,3301
121,4510
122,2811
123,2755
124,2380
125,2682
126,1271
127,2868
128,671
129,2564
130,4856
131,4515
132,3069
133,559
134,1773
135,2694
136,3120
137,2765
138,1509
139,4963
140,2335
141,2338
142,3559
143,689
144,1626
145,2682
146,3917
147,3754
148,1468
149,1086
150,4684
151,4526
152,3737
153,4304
154,3514
155,2284
156,3411
157,3044
158,2273
159,3766
160,3278
161,3219
162,3126
163,3216
164,2692
165,3940
166,3415
167,4383
168,2753
169,853
170,2704
171,3005
172,2008
173,4262
174,4286
175,4915
176,1856
177,1396
178,789
179,978
180,3631
181,2680
182,692
183,3385
184,2105
185,1787
186,4304
187,2355
188,3528
189,1719
190,3037
191,3626
192,4589
193,1233
194,4065
195,3630
196,2731
197,2807
198,4818
199,3800
200,3320
201,2543
202,2425
203,2330
204,1714
205,4736
206,4464
207,1015
208,4617
209,2320
210,4310
211,4294
212,1064
213,4333
214,4019
215,4741
216,3798
217,1288
218,1309
219,877
220,1831
221,2589
222,2368
223,869
224,1217
225,4722
226,1003
227,4895
228,4704
229,1782
230,3992
231,3903
232,4863
233,4698
234,4782
235,2481
236,3476
237,976
238,1967
239,2263
240,2224
241,2554
242,1783
243,4333
244,1212
245,3183
246,4108
247,2680
248,4524
249,3286
250,4496
251,1519
252,2967
253,3091
254,4128
255,4402
256,3867
257,1465
258,4752
259,3565
260,3988
261,3996
262,4371
263,4032
264,3123
265,1840
266,1375
267,1807
268,2803
269,1962
270,4042
271,3475
272,1770
273,2212
274,4331
275,1418
276,4617
277,1946
278,1271
279,1491
280,1559
281,1790
282,4569
283,533
284,3675
285,500
286,3457
287,4279
288,3340
289,587
290,4982
291,1312
292,1535
293,4796
294,4815
295,2262
296,2773
297,1223
298,617
299,2719
300,1980
301,562
302,2124
303,2782
304,1788
305,2540
306,1700
307,531
308,2864
309,4107
310,3997
311,2894
312,2068
313,2984
314,771
315,3961
316,4963
317,3963
318,4612
319,4252
320,4270
321,2965
322,1190
323,2459
324,2285
325,2270
326,1703
327,2144
328,1829
329,2466
330,856
331,3268
332,3215
333,1013
334,3970
335,500
336,2140
337,1921
338,3073
339,3342
340,2729
341,3148
342,3855
343,1064
344,1809
345,1510
346,3108
347,695
348,843
349,4122
350,1228
351,1568
352,4305
353,4089
354,1083
355,4356
356,2537
357,3012
358,2598
359,2555
360,2185
361,2643
362,2659
363,2598
364,4244
365,2157
366,3886
367,3072
368,1876
369,4446
370,2086
371,1582
372,1855
373,1493
374,3272
375,2979
376,1610
377,2284
378,2389
379,1506
380,1232
381,1490
382,809
383,2145
384,1379
385,1647
386,2328
387,4317
388,4063
389,2268
390,3401
391,4628
392,2596
393,3129
394,1087
395,4446
396,1728
397,4472
398,4126
399,3919
400,3573
401,2753
402,964
403,1997
404,1644
405,4297
406,2096
407,1394
408,1342
409,2162
410,4671
411,1751
412,942
413,3248
414,1323
415,4787
416,682
417,3819
418,1945
419,3074
420,3634
421,3995
422,1712
423,1014
424,3001
425,2794
426,1230
427,1759
428,1647
429,2874
430,3431
431,4513
432,3623
433,3061
434,621
435,3501
436,1166
437,3394
438,2587
439,4352
440,1023
441,1383
442,4824
443,4888
444,2613
445,3960
446,2324
447,4446
448,1063
449,1217
450,1656
451,2394
452,774
453,2657
454,2930
455,3229
456,4412
457,1916
458,1867
459,1903
460,3799
461,2842
462,2408
463,3268
464,1280
465,2431
466,1346
467,1874
468,1857
469,2454
470,1036
471,2882
472,4156
473,2567
474,3348
475,3617
476,2784
477,2895
478,4028
479,3130
480,2817
481,1205
482,1848
483,2868
484,579
485,3390
486,2350
487,938
488,3108
489,2345
490,3668
491,4131
492,1950
493,4325
494,1144
495,787
496,2448
497,1770
498,4359
499,4848
500,1164
501,1899
502,3603
503,3580
504,1699
505,3912
506,3826
507,4464
508,4310
509,1336
510,698
511,1546
512,3497
513,3057
514,2419
515,2754
516,1114
517,4320
518,512
519,4173
520,4693
521,3217
522,3870
523,1176
524,4534
525,3327
526,3187
527,1849
528,1021
529,2010
530,3060
531,3706
532,4289
533,4259
534,2633
535,4170
536,4683
537,1762
538,1937
539,4765
540,3964
541,1341
542,2829
543,953
544,1689
545,3695
546,659
547,4245
548,3819
549,1276
550,2556
551,4979
552,3040
553,3469
554,644
555,4839
556,4856
557,3925
558,3927
559,753
560,4800
561,1953
562,4160
563,3017
564,1988
565,4079
566,2655
567,825
568,2915
569,3561
570,3079
571,3195
572,4582
573,1171
574,3850
575,3197
576,3694
577,1294
578,4442
579,4138
580,2181
581,4424
582,500
583,1231
584,2630
585,3628
586,998
587,2714
588,3721
589,2197
590,623
591,1347
592,4512
593,2619
594,4433
595,3890
596,2461
597,4466
598,3072
599,1831
600,4768
601,1077
602,4926
603,4012
604,557
605,3421
606,4884
607,4144
608,2129
609,671
610,1061
611,2488
612,2644
613,3267
614,1327
615,2342
616,1774
617,2255
618,4101
619,2365
620,2593
621,4187
622,563
623,787
624,699
625,2787
626,3189
627,2412
628,4163
629,1317
630,1834
631,3048
632,923
633,4214
634,1099
635,4178
636,698
637,951
638,2772
639,4823
640,2322
641,1528
642,2976
643,1634
644,2467
645,4545
646,2272
647,3614
648,905
649,1793
650,642
651,1538
652,2506
653,4958
654,859
655,4412
656,2909
657,2307
658,2915
659,2507
660,2631
661,3206
662,749
663,1699
664,3993
665,829
666,514
667,2910
668,846
669,1931
670,4771
671,3653
672,1132
673,1934
674,1902
675,2108
676,3047
677,4108
678,4585
679,2864
680,3269
681,1428
682,2324
683,3046
684,4912
685,3650
686,4421
687,2943
688,3531
689,4271
690,4998
691,4908
692,2266
693,3167
694,1164
695,1485
696,1051
697,636
698,4784
699,1107
700,4883
701,1056
702,4936
703,3205
704,4878
705,2336
706,2847
707,3309
708,2580
709,3759
710,4178
711,3144
712,1042
713,3827
714,3938
715,4627
716,4259
717,1897
718,2982
719,3214
720,3720
721,606
722,2290
723,2615
724,4000
725,672
726,649
727,2665
728,2583
729,2620
730,1347
731,3102
732,1546
733,3352
734,4832
735,1941
736,3629
737,1218
738,2731
739,3558
740,2264
741,4100
742,3293
743,999
744,799
745,2463
746,3530
747,2009
748,1762
749,2003
750,3319
751,3266
752,2039
753,3474
754,2082
755,3136
756,4700
757,3461
758,2216
759,4265
760,513
761,1996
762,2006
763,4895
764,3789
765,4021
766,3889
767,1674
768,4569
769,2225
770,3958
771,4600
772,3054
773,4506
774,2478
775,2269
776,4254
777,1263
778,3470
779,2664
780,4842
781,844
782,864
783,522
784,4306
785,4712
786,1467
787,2291
788,4009
789,2722
790,2050
791,1589
792,4421
793,3481
794,2255
795,4160
796,3715
797,2297
798,4647
799,935
800,1014
801,4659
802,1649
803,2703
804,2019
805,1715
806,3039
807,4292
808,4837
809,2304
810,2450
811,1597
812,1522
813,3706
814,675
815,1174
816,1737
817,1891
818,4914
819,1832
820,2760
821,3546
822,4281
823,1545
824,2762
825,4359
826,1932
827,2232
828,675
829,517
830,2940
831,1182
832,4756
833,1861
834,1455
835,3307
836,2897
837,2744
838,3142
839,3249
840,4390
841,820
842,3523
843,2755
844,2795
845,704
846,4833
847,1395
848,4036
849,3953
850,3538
851,4278
852,2602
853,2360
854,3306
855,4904
856,2177
857,4146
858,1708
859,2864
860,1155
861,3930
862,609
863,1738
864,2863
865,2234
866,4784
867,1568
868,2249
869,2864
870,4112
871,2201
872,4497
873,1008
874,1513
875,842
876,3015
877,1733
878,1561
879,3304
880,1006
