customer_id,usage_hours,churn
1,76,1
2,89,1
3,41,0
4,87,0
5,82,0
6,57,0
7,2,0
8,20,1
9,87,0
10,75,0
11,77,1
12,59,0
13,29,1
14,43,0
15,58,1
16,17,0
17,49,0
18,29,0
19,48,0
20,66,0
21,89,0
22,59,0
23,93,0
24,21,1
25,10,1
26,96,0
27,55,0
28,8,0
29,68,0
30,45,0
31,84,0
32,39,0
33,57,0
34,63,1
35,8,0
36,92,1
37,55,1
38,14,1
39,62,1
40,95,0
41,12,0
42,80,0
43,28,0
44,85,0
45,38,0
46,18,1
47,6,1
48,10,1
49,30,0
50,39,0
51,81,0
52,9,0
53,28,0
54,5,1
55,39,1
56,64,0
57,32,0
58,90,1
59,53,0
60,57,1
61,18,1
62,79,0
63,91,0
64,98,1
65,74,0
66,96,0
67,99,0
68,53,0
69,89,1
70,1,0
71,56,1
72,54,1
73,75,0
74,25,0
75,33,0
76,8,0
77,65,0
78,24,1
79,31,1
80,94,0
81,39,0
82,39,0
83,59,1
84,94,0
85,34,0
86,69,0
87,18,0
88,19,0
89,51,1
90,74,1
91,29,1
92,86,0
93,93,0
94,61,1
95,63,1
96,72,0
97,74,0
98,3,1
99,5,0
100,23,1
101,27,0
102,16,0
103,17,0
104,73,1
105,90,0
106,72,0
107,95,1
108,59,0
109,2,0
110,6,1
111,17,0
112,44,1
113,47,0
114,59,0
115,19,0
116,84,0
117,11,0
118,49,0
119,96,0
120,80,1
121,70,1
122,6,0
123,32,0
124,81,0
125,71,0
126,77,1
127,32,1
128,97,1
129,64,1
130,85,0
131,44,0
132,64,1
133,35,0
134,62,0
135,79,0
136,67,0
137,46,0
138,36,0
139,15,0
140,44,1
141,8,0
142,95,1
143,20,0
144,92,1
145,33,1
146,43,0
147,23,0
148,78,0
149,15,0
150,19,0
151,55,0
152,1,0
153,45,1
154,49,0
155,43,0
156,98,0
157,97,0
158,73,0
159,16,0
160,37,1
161,57,0
162,1,0
163,81,1
164,60,0
165,1,1
166,33,0
167,74,0
168,41,0
169,84,0
170,86,0
171,95,1
172,32,0
173,42,1
174,19,1
175,9,1
176,36,1
177,29,0
178,17,0
179,57,0
180,30,0
181,23,0
182,41,1
183,33,1
184,51,1
185,81,1
186,1,1
187,89,0
188,55,1
189,84,0
190,98,0
191,3,0
192,83,1
193,76,1
194,11,1
195,86,0
196,35,0
197,4,1
198,21,1
199,33,1
200,21,0
201,19,0
202,87,0
203,87,0
204,2,0
205,92,1
206,88,1
207,97,0
208,94,0
209,93,0
210,25,1
211,75,1
212,51,0
213,47,0
214,48,0
215,35,0
216,39,0
217,91,0
218,59,0
219,6,1
220,91,1
221,93,0
222,89,0
223,94,0
224,91,0
225,8,0
226,20,0
227,39,0
228,29,1
229,43,0
230,93,0
231,17,0
232,26,1
233,92,0
234,54,0
235,73,0
236,17,1
237,74,0
238,71,0
239,63,0
240,21,1
241,33,1
242,39,1
243,58,0
244,92,0
245,37,0
246,47,0
247,90,1
248,55,0
249,58,1
250,7,0
251,63,0
252,71,0
253,11,0
254,83,0
255,45,1
256,98,1
257,3,0
258,32,0
259,36,0
260,38,1
261,61,0
262,21,1
263,98,1
264,74,0
265,96,0
266,55,1
267,64,0
268,73,0
269,64,0
270,6,0
271,98,1
272,96,1
273,45,0
274,84,1
275,48,1
276,62,0
277,40,0
278,31,0
279,61,0
280,72,1
281,44,0
282,61,0
283,56,0
284,15,0
285,58,0
286,33,0
287,28,1
288,57,0
289,4,0
290,36,0
291,28,0
292,76,0
293,61,0
294,23,1
295,27,1
296,57,0
297,71,1
298,75,0
299,52,0
300,8,0
301,57,0
302,69,1
303,70,1
304,23,0
305,75,0
306,56,1
307,85,1
308,92,0
309,39,0
310,57,0
311,25,1
312,23,0
313,87,0
314,30,0
315,38,1
316,46,0
317,80,0
318,69,0
319,55,1
320,76,0
321,14,1
322,89,0
323,77,0
324,24,1
325,18,0
326,56,0
327,18,0
328,16,1
329,38,1
330,82,1
